largeur_passage,hauteur_marche,presence_rampe,pente_rampe,surface_sol,eclairage,signalisation,places_parking,distance_transport,assistance_disponible,horaires_adaptes,accessibilite_pmr
134.90142459033697,5.308986449276151,1,6.364560447075739,1,2,1,0,31.672433151751143,1,1,2
115.85207096486447,0.7141742469221497,1,3.3716009407537815,1,0,1,0,49.54939726919825,1,1,1
139.43065614302077,25.0,1,6.277270057060902,1,1,0,3,389.12086738728,0,0,1
165.69089569224076,5.838662456198795,0,0.0,1,1,1,6,238.6800030477987,1,1,1
112.97539875829992,7.619204193542535,0,0.0,0,1,1,2,323.3124924980539,0,0,1
112.97589129152459,2.1598876272636747,0,0.0,1,1,1,1,,0,1,1
167.37638446522175,5.2854102639077745,0,0.0,2,1,1,1,259.37018119086883,0,0,1
143.02304187458725,4.485023287089292,1,4.934786486653007,2,0,1,1,288.1028959962665,1,1,2
105.91576842195144,0.6227915565430582,1,9.79101469198271,0,1,0,2,76.61304992200026,1,0,1
136.27680130757895,0.8978310902471051,1,5.6993432524725804,2,2,1,2,500.0,0,0,2
106.09746921562613,14.5352654517722,1,6.400067574624656,0,1,1,1,285.81176928475503,0,0,1
106.0281073928923,2.1935997501439033,0,0.0,0,1,1,0,500.0,0,1,1
127.25886814698103,1.7348893300750587,1,4.356638347389955,1,0,0,2,302.0448214931577,0,0,1
62.601592660266064,5.624149168386794,1,9.247058421783613,0,2,0,5,224.5528123350931,1,1,1
68.25246502460902,11.71394798198144,1,4.944597176158789,0,2,1,4,431.9429240385444,0,1,1
103.13137412277082,0.5115865212878116,0,,0,1,1,1,81.66233650884698,0,1,1
89.61506638996728,6.879432898513068,1,5.098519445394497,1,1,1,3,229.4093500580824,0,1,1
129.42741997785822,1.0154923978398294,0,0.0,0,1,1,2,35.9083201695656,1,0,1
92.75927773436368,0.2971389381580109,1,4.697425070033637,1,2,1,2,197.9602258178625,1,1,2
77.63088895994125,0.43348675581567697,1,4.063742804295346,1,1,1,3,230.81426690075335,0,0,1
163.96946306764661,14.374052666254496,1,7.234857261854649,1,1,0,1,189.09438921051915,0,1,1
113.22671098540393,1.0042562060909874,0,0.0,2,2,1,6,284.3811794752277,0,1,1
122.02584614063771,0.3696195826411566,1,7.775607871157697,1,2,1,5,79.99531233136406,1,0,2
77.2575544135963,4.608602465572241,0,0.0,0,0,1,2,118.04225849985019,0,1,1
103.66851826424451,14.862859408661274,1,7.5623506725751986,0,2,1,3,10.0,0,1,1
123.32767769129599,2.434919705727847,1,5.569223422279847,1,1,1,2,23.68295083421742,0,1,1
85.47019267733091,4.381474658889763,0,0.0,1,2,0,0,155.00541471925226,0,1,1
131.27094055037017,0.32593042023879104,1,2.950030119711881,0,1,1,0,123.93912466021541,0,1,1
101.98083930243585,4.769303791001108,1,5.7324412549575205,0,1,0,1,32.97221098298948,0,1,1
111.2491875062017,6.894668115896339,0,0.0,1,1,1,3,41.85093135667241,0,0,1
101.9488016331181,6.768653804805195,1,7.388652762298598,1,1,1,2,63.25797085498156,0,1,1
175.56834553526812,3.2328485622409344,0,0.0,1,0,1,2,189.03635473175427,0,1,1
119.59508325786199,3.0329208778843353,1,6.999643271947619,2,1,1,4,141.1323215865276,0,1,2
88.26867213132299,0.9019784603903791,1,2.017719702090667,1,1,1,0,10.81646892036691,1,1,1
144.67634736309566,3.6557303904743224,1,5.277539614171254,1,1,1,2,214.0294262993422,0,1,2
83.37469050086933,0.8383935535852699,0,0.0,1,2,1,0,45.705835622501475,0,1,1
126.26590785014267,11.639873475514957,1,6.174714850520528,2,1,0,7,167.101387663688,1,1,1
61.20989628360673,25.0,0,0.0,1,1,1,1,19.74931592356298,1,0,0
80.15441853304708,25.0,0,0.0,0,0,1,1,,0,1,0
125.90583707607371,16.02405841055062,1,3.5149983261612254,0,1,1,4,12.5618986924712,0,1,1
142.1539973998623,7.346184550042264,1,4.110182554629866,1,1,1,3,203.06479911000724,1,1,2
125.14104843569912,9.654901066736777,1,7.291595283207423,2,1,1,2,116.91375974871221,0,1,1
116.53055152835279,2.686084909100005,1,3.968673538240348,0,1,1,1,13.478726912599646,1,1,1
110.96688913232134,7.970693286829819,1,7.076423210984514,0,0,1,1,10.0,1,1,1
75.64434028897718,4.865296231618405,0,0.0,2,2,1,2,67.56914771819038,0,1,1
98.40467374815874,5.262508094046234,0,0.0,2,1,0,1,243.0929787074302,0,1,1
106.18083687120638,11.343157396589866,0,0.0,0,1,0,3,10.0,0,1,1
151.71366678656747,2.6493760442493275,0,0.0,0,0,1,2,182.81153520360678,1,0,1
130.30854868705384,3.0622696359119916,0,,1,2,1,0,159.7953169480559,1,0,1
67.10879533911799,20.684019333016103,1,4.869300094997811,0,0,0,2,46.292487074147814,0,1,0
129.72251908184384,0.46293393236661334,0,0.0,2,2,1,2,12.098890463251426,0,1,1
108.4475315875105,5.318566278591764,0,0.0,0,1,1,3,370.33484782316566,1,1,1
99.69233999082124,19.51648101678856,1,7.921226465006971,0,1,0,1,53.57621805522023,1,1,1
138.35028866522603,7.5403181007128,0,0.0,0,2,1,5,17.713382742841098,1,1,1
,6.324440979167741,1,5.656379072394652,0,2,0,2,171.62796399524314,0,1,1
147.93840357348597,2.2987282900030226,0,0.0,0,1,1,1,36.63233259473947,0,1,1
94.82347430332084,3.3639252966287483,0,0.0,0,1,1,2,96.83387667960893,0,1,1
110.72362872446357,15.28696154042763,0,0.0,1,1,1,2,10.0,1,1,1
129.93790294210692,6.553641246123546,1,4.156352687359573,0,2,0,2,500.0,0,1,1
149.26635381367078,5.784599760062906,0,0.0,2,1,1,1,89.0281655412455,1,0,1
105.6247728646413,0.8391491176467456,1,5.329713722443615,0,1,1,1,500.0,0,1,1
114.43023070008549,0.1292639729835341,1,5.729331532153781,1,0,0,2,73.08464618779519,0,1,1
86.80995077981916,25.0,0,0.0,0,1,0,3,64.12269021429516,1,1,0
84.11380127757988,3.7854924563941448,1,5.176153531228094,0,1,0,4,369.0127808544971,1,1,1
144.37577467182595,7.3948465816863145,0,0.0,1,1,1,1,59.95209767260176,0,1,1
160.68720085712468,0.6645756306387557,1,7.158152601751006,1,1,0,1,84.84654400658435,0,1,1
117.83969635258998,9.193712743155647,1,1.0176771836970797,1,0,1,2,12.19947631741833,1,1,1
150.10598693676073,21.572931575174593,0,0.0,1,1,1,0,466.7131851172655,1,1,1
130.84908075142903,6.857861100735328,1,8.179259045818323,1,1,0,3,13.349477687405678,1,1,1
100.64640736184627,1.0784548786434456,1,5.281429391387167,1,1,1,4,221.22617575672228,0,1,1
130.8418681652524,6.972862928440037,0,0.0,2,0,1,2,116.028494559837,0,1,1
166.1410969939791,11.63135265805725,1,4.281201578365598,1,0,1,2,10.0,1,1,2
118.92521882670145,4.172619565015044,0,0.0,2,0,0,4,10.0,1,1,1
166.9393096744202,16.951298791816505,1,8.997092721339708,2,2,1,0,411.28830093412563,0,1,1
60.0,8.368529571424734,1,5.4565399202605835,0,1,1,2,203.3202044201126,1,1,1
144.6570751312567,18.360818733035067,1,2.260536676090018,0,0,1,1,173.96288545436863,0,1,1
122.61141204714514,7.81481070992264,1,5.873393554437326,1,1,1,1,86.58662815467817,0,1,1
111.02977948602398,1.1259487347273867,1,5.842823214171286,1,1,0,0,40.8921813377634,1,0,1
122.75282329606507,2.964935885395957,1,8.39673713874692,1,1,1,2,170.85097248612843,0,1,1
60.372932561973215,1.8031180597041767,1,6.02867284435152,1,1,1,4,140.5892649698959,1,1,1
113.40984336487465,19.159927754074417,1,5.156835377119415,0,1,0,2,194.3815259115421,0,1,1
130.71337714535238,11.430277548587581,1,8.090112290462411,0,1,1,2,68.30686802941067,0,1,1
164.33682134224549,9.025936426874782,1,6.241580465002221,0,0,1,0,500.0,0,1,1
104.45189345179058,2.8644508341069814,1,4.499954636868566,1,2,1,3,10.403903274669345,0,1,2
95.74519191320437,1.6271663458553027,0,0.0,1,2,0,1,12.458599832095345,0,0,1
104.9472886924639,11.299499887593758,0,0.0,0,2,1,3,373.11299647749445,0,0,1
147.46206353106223,5.142035109386776,0,0.0,1,0,1,6,156.4935688881935,0,1,1
129.86253328979052,2.0472923672266736,1,6.355816782823309,0,2,1,4,59.2531411600158,1,1,2
104.10719388698884,7.669870195107497,0,0.0,0,2,1,0,215.2929191928606,0,1,1
135.39802299340067,0.32935854118341834,0,0.0,1,2,0,1,90.43384208202815,1,0,1
122.91232648044121,3.158222420347246,0,0.0,0,1,0,1,10.0,0,1,1
149.05934971598668,5.057274563387975,1,5.61067260995064,1,2,1,2,157.94706719332675,0,1,2
98.93840718367943,1.2809587977688544,0,0.0,2,0,1,3,41.78098587299205,0,1,1
110.17013560206695,25.0,0,0.0,2,1,0,0,18.381955278197623,0,1,0
108.23675540603527,1.8766432743675396,0,0.0,0,1,1,5,38.28672079752932,1,1,1
76.09455155603644,1.1173443706662831,1,6.018790709151699,1,2,1,0,96.98474098889953,1,1,1
128.88360831193728,1.8205754760305461,1,8.112576967492245,1,2,0,6,10.0,0,1,1
127.83165816539668,11.724817993586335,1,6.795055513146308,1,1,1,0,322.03269663274097,0,1,1
120.15340369927382,4.434120260157122,1,6.02684097077692,1,1,1,2,123.11913651714548,0,0,1
112.96238599874559,6.66692710934022,0,0.0,0,0,1,4,52.00788152275013,1,1,1
77.53887773848757,0.16986391922637822,1,4.091122747418074,0,1,0,3,174.23513664947473,1,1,1
107.38064031703922,0.2803042694554724,1,7.013831440272622,1,1,1,1,244.62719483173763,0,1,1
109.71856450419692,4.722205998351523,1,,1,0,0,3,142.75839964310921,0,0,1
95.93168192335143,13.571095852444635,1,4.996016079637591,0,2,0,3,33.94001638419259,0,1,1
115.16142865001973,17.319220137252454,1,8.212923541624143,0,0,0,2,17.528690453620634,1,1,1
132.12152570443615,0.7255844509676262,0,0.0,1,1,0,3,294.80949947083803,1,1,1
176.5855770363159,6.183813057544403,1,5.155008209135132,0,2,1,1,40.120637831630816,1,1,2
125.23733438495518,19.55592578911635,1,8.055437497559067,0,2,0,1,10.0,0,1,1
127.72651172168293,3.9278278280243866,1,6.631045881840507,0,2,1,2,154.46179919092364,1,1,1
117.76662252701499,14.155249319214061,1,5.904282144694485,0,0,0,0,24.887881443937836,0,1,1
62.43686354102876,1.1481519505748503,1,6.502007086300293,1,2,1,3,500.0,1,1,1
119.20458373652349,21.91564458057019,0,0.0,0,1,1,1,305.72286660418797,0,0,0
121.8069062982308,11.136031197471382,0,0.0,0,2,1,4,140.6446713383995,1,1,1
193.89726337455858,22.687213053142404,0,0.0,0,2,0,2,269.2437654183339,0,1,1
114.22917105656633,9.031348975348772,0,0.0,0,2,1,4,95.38343096427037,0,1,1
129.04642027000838,3.6129595257224834,1,4.681351730445665,1,0,1,1,233.01978669120194,1,1,1
118.9586469088427,22.26837847369503,0,0.0,0,1,0,0,155.99500694904518,1,1,0
84.93965887141404,2.5789255223035874,0,0.0,1,2,1,1,10.0,1,1,1
154.28468443545063,3.2298032428921792,0,0.0,0,2,1,3,445.6783924415398,1,1,1
142.55799098060322,9.653369346481336,1,4.833754337351404,0,0,1,2,295.9054408554555,1,1,1
143.7309584112914,11.596133015014054,0,0.0,0,2,1,3,459.94700202740245,0,1,1
92.71837635615783,21.20619585604644,0,0.0,0,0,1,2,197.1607765538438,0,1,0
162.08382932808297,1.8333172251328564,0,0.0,1,1,0,0,79.66979170789234,1,1,1
77.94446811623158,12.795822839925846,1,3.898117667622079,1,1,1,2,34.78701353726764,1,1,1
137.60571281400811,10.731976987227666,0,0.0,2,0,1,1,29.766972681869024,0,1,1
185.71366877429935,0.5273626832572541,0,0.0,0,0,1,1,23.48337896109646,0,1,1
90.28391024607936,3.918035394722278,0,0.0,0,2,0,2,37.38648870477145,1,1,1
103.01106811191684,2.658818998421189,1,4.413557605585931,0,1,1,2,119.98830884273517,1,1,1
122.98954095262924,2.904883997684685,0,0.0,1,0,1,0,172.68099433578297,0,1,1
104.89573037651402,25.0,1,8.372831181035217,0,2,1,3,56.54401576747655,0,1,1
73.48009706801602,8.235169598718407,1,4.022255304728832,1,2,0,1,119.35905803783241,1,0,1
122.05688924418082,10.117603922442216,1,5.018254210212868,0,1,0,2,62.61228243844626,0,1,1
88.13088858821686,25.0,0,0.0,0,0,1,2,178.86097968155298,0,1,0
134.20777291905546,3.7882616082629927,1,11.264772409354997,2,0,1,2,500.0,0,0,1
92.4172729729859,12.949450751089634,1,5.140199789584226,1,2,1,1,175.20253935120903,0,0,1
166.49803215052617,4.560797910232897,0,0.0,1,1,1,2,10.0,0,1,1
96.50240122991289,16.29312085666726,0,0.0,1,1,1,4,97.29347490313388,0,1,1
110.33815451382974,1.594025120393838,1,4.020698067671273,1,2,1,2,220.70432121481974,0,0,1
144.40551652109008,23.603957135667102,0,0.0,0,1,1,5,117.2120637943698,1,1,1
83.07407050698134,1.9751029206680888,0,0.0,1,0,0,3,452.58331946517313,0,0,1
126.82379803812388,3.15881906633335,1,5.464202531683003,0,2,1,2,10.0,0,0,1
159.21428262847286,11.291001671212737,1,4.582443594557004,1,1,1,2,51.61787408612627,0,1,1
71.77550296316318,4.003770541592296,1,4.361316814530853,1,1,1,2,37.40736512670022,0,0,1
125.53901575596913,7.496262488572439,1,8.316943992946655,1,2,1,5,218.90861866702016,0,1,1
127.7964838274527,4.704151950506895,1,8.44758724502633,1,2,1,2,111.2854183714264,1,1,2
143.4546861533193,10.849844701738302,0,0.0,1,1,1,0,22.334910777241436,0,1,1
82.89147867365755,2.073599235352042,0,0.0,0,1,0,7,50.44542297285735,0,1,1
80.38630160747171,0.4818904692714442,1,6.185486131559105,0,2,0,4,110.92872531958042,1,1,1
135.65824696850694,2.8525927061765888,1,5.005938618668183,0,1,0,1,500.0,0,1,1
128.90954019699558,5.144328430617249,1,4.093684990489816,1,1,1,5,67.95247541979626,0,0,1
127.5147855103763,1.4715755171559213,1,6.725991406865375,2,1,0,0,25.587307804415616,1,1,2
130.39344628490926,3.5055258556748465,1,3.652739214906404,0,1,1,3,103.09460634965525,1,1,1
99.59925835264528,4.086378570579649,0,0.0,0,2,1,0,55.70007447144146,1,1,1
126.9676109148301,0.47283689229109527,0,0.0,1,1,1,4,125.19514575179545,0,0,1
128.79217419896042,7.003249079644495,1,9.801298083444173,2,2,1,2,94.30357207378879,1,1,2
98.56945745920896,17.2570405203114,0,0.0,1,2,0,4,175.43083798239246,1,0,1
175.9732353343427,1.3165721635930898,1,8.212914304589289,0,2,1,0,368.51910669601455,0,1,1
134.21498762735362,7.286605806114258,0,,2,2,1,1,33.5680044823071,1,1,1
84.26089508392054,8.742772457775777,1,3.3246516278246316,2,2,1,1,258.2063938785448,0,0,1
139.69660825901488,4.348645841087476,1,7.224343237237168,0,1,0,1,447.1730062496464,0,1,1
90.75954989318035,9.66110510407545,0,0.0,2,0,0,2,70.16723853490741,0,1,1
143.61253811227357,4.2309873249732135,1,6.143337107760488,1,2,1,4,18.09865525856712,0,0,2
154.75786737022213,5.619720265472496,0,0.0,0,1,1,4,258.8209218935732,0,1,1
95.37953044944868,0.05904169153077611,1,7.924421157162196,1,0,0,0,181.14482847672784,0,1,1
148.90128387732966,9.41397750642409,1,4.028533933145051,2,0,1,2,35.87421165763449,0,0,1
132.38342780809495,8.662132281614422,1,4.452438842218685,1,0,1,3,88.37851755135814,1,1,1
144.6618047998347,0.3132610205009389,1,3.983786986479144,0,2,1,1,129.40972456248238,0,0,1
176.9037894796184,3.6740936216808104,0,0.0,2,2,1,0,27.923069164081966,1,1,2
112.63835651991388,25.0,1,3.8242139757814835,0,1,1,0,188.24404110111013,0,1,1
97.38791506927531,4.367983343649486,0,0.0,1,2,1,0,175.62071991842987,1,1,1
93.3145671112343,5.576364637735262,0,0.0,1,1,1,2,327.2232829746508,0,0,1
95.52569145103685,19.257359113219866,0,0.0,0,2,0,1,125.64722289053131,1,1,0
117.68694871757687,10.105873329292436,1,3.0252511071920463,0,1,1,1,128.107652499046,1,1,1
130.2345592444993,6.979533106742393,0,0.0,2,2,1,1,144.8959655042412,1,1,1
128.30072397990057,12.788168997574225,1,8.494607301329356,1,1,1,1,47.986015600425596,0,1,1
144.8154974710807,15.982377295728012,1,6.270982744633524,1,1,1,4,213.19863143155797,0,1,1
