largeur_passage,hauteur_marche,presence_rampe,pente_rampe,surface_sol,eclairage,signalisation,places_parking,distance_transport,assistance_disponible,horaires_adaptes
0.7061227523526523,-0.9815445164620196,1,0.38297468691151076,0,0,0,-1.386091313160651,-0.8547861399187123,1,1
-1.8661352292751765,2.6451198089750743,1,1.2949300317140868,1,2,1,-0.6903122387881478,-0.9164398448271214,1,0
-0.6918421819962565,1.34254189198858,0,-1.0731377231863977,0,2,1,0.005466835584355331,2.418057484097767,1,1
-0.02507650027927862,0.3708388214477549,0,-1.0731377231863977,1,1,1,1.3970249843293614,-1.0296873542479668,1,0
-0.277150591263591,0.9809997330924358,1,0.27715554395695624,0,1,1,0.005466835584355331,-0.5241184318271183,0,1
0.5902184822148601,-1.0881675533823638,0,-1.0731377231863977,2,2,1,0.7012459099568584,0.8607185937257877,1,1
-0.25110934430001375,-0.099793326968772,1,1.669868665159279,1,1,1,0.7012459099568584,-0.6928415826583285,0,1
-0.794801851670427,-0.8619694564871447,0,-1.0731377231863977,1,1,1,-0.6903122387881478,-0.9814667205066439,0,1
0.8138540763387195,0.008316495653076869,0,-1.0731377231863977,1,1,1,-0.6903122387881478,-0.6443092077694821,0,1
-0.04451463719877793,-0.465612312923529,1,0.3691912143252023,0,1,1,-0.6903122387881478,-0.30101710617306277,0,1
1.0365986690927371,-0.5973269181913926,0,-1.0731377231863977,1,0,0,4.180141281819374,0.2342872916283965,0,1
0.8247993060205847,0.1813299056967509,1,-1.0569605581239085,1,0,1,1.3970249843293614,-0.36890359088885555,0,1
-1.258770220960102,-0.2790867089715927,1,-0.37716902026154747,1,0,1,1.3970249843293614,-0.8704257516552537,0,1
-1.5788258316964263,-0.4946444699634508,0,-1.0731377231863977,2,1,1,0.7012459099568584,-1.0296873542479668,1,0
2.4931810673205006,-0.2672312391135815,1,-0.7655124483048349,0,1,1,-1.386091313160651,-0.9515332366257921,1,1
-0.8629232702884038,0.41755158982661567,1,1.9349063593860167,1,1,0,0.7012459099568584,-0.05097775053249396,0,1
